average_rating,author_id,name,ratings_count
4.07,325732,Georgi Gospodinov,9202
3.55,118199,Jutta Motz,22
3.6,671485,Dominique Manotti,475
3.83,1310598,Frauke Schuster,36
3.67,5553812,Rintaro Norizuki,67
3.98,34589,Boris Akunin,56785
3.73,220208,Ingrid Noll,3255
3.5,5581439,Yuri Mitsuhara,10
3.06,2759401,Theo Capel,16
3.23,518755,Kjersti Scheen,198
3.79,30006,Marco Denevi,3198
3.5,3297872,Carmen Iarrera,26
3.78,28978,David Leavitt,18028
4.03,27788,Tracie Peterson,110048
4.01,5512544,Sanja Rescek,1245
3.63,8051,Chinua Achebe,239171
4.13,1069006,C.S. Lewis,4509443
3.96,9760,Colin Thompson,4398
4.2,354030,Scott F. Gilbert,345
3.79,3314196,Anna L. Tyler,39
3.88,116596,Emily Zackin,42
3.74,32276,Charles Sheffield,10853
3.72,7780181,John Gregory Betancourt,17918
3.61,30036,Justine Musk,4116
3.92,98475,Grace Schulman,125
3.55,233610,Alison G. Taylor,296
3.62,708583,Sue Kovach,34
4.29,67759,Rosanne Bittner,8500
4.21,5024771,F. Rosanne Bittner,805
4.28,115204,Irina Ratushinskaya,379
4.3,2905379,Irina Ratushinskaia,364
3.68,11783,Richard Powers,25532
4.02,155955,William Marvel,1891
3.23,379738,Eric Zencey,204
4.22,22348,Virginia Lanier,3539
3.99,172810,Jack W. Cottrell,180
4.1,160026,Jacques Roubaud,1277
3.97,558966,Dominic Di Bernardi,351
3.64,27862,Karyn Bosnak,5115
3.7,5591985,Pedro Rodriguez,394
3.72,31121,Nic Fields,512
3.71,2970686,Donato Spedaliere,137
3.73,53984,Brent Hartinger,26711
3.91,30819,Heather Graham,213427
4.18,2960,Wayne W. Dyer,117961
4.17,20852,William W. Johnstone,49868
3.95,2693,Richard Carlson,79333
4.18,3500,Anna Quindlen,2392639
3.76,469586,Ernie J. Zelinski,1890
3.94,57893,Rick Foster,372
3.94,57892,Greg Hicks,348
3.38,57891,Steve Doocy,299
3.77,3866184,Maxwell Richard Bennett,227
3.96,6952980,Daniel C. Dennett,66298
3.81,29174,John Rogers Searle,4114
4.08,6508721,P.M.S. Hacker,752
3.81,107891,Tobias S. Buckell,27998
4.25,3873,Mikhail Bulgakov,229901
3.72,2578,Jonathan Franzen,331121
4.11,6125,Fannie Flagg,356934
3.7,10890,Ruth Rendell,133668
3.58,75334,Kate Cann,9484
3.95,105650,Darius James,356
4.19,8476,CLAMP,401389
3.89,73528,Noah Levine,5626
3.9,68607,David Gates,6895
4.12,40641,Michael Slater,31205
3.84,202269,Linnea Sinclair,19240
3.73,444180,John D. Gresham,3603
3.98,20561,F. Paul Wilson,121614
4.13,157340,J.D. Douglas,252
4.03,6941,Peter Straub,336123
3.95,7391865,Gerard Coisne,2871
4.0,352551,Joan Nestle,3422
3.88,18082,John Preston,1109
3.67,2865413,Kerwin Kay,12
4.14,66546,Jill Nagle,480
3.67,969467,Baruch Gould,12
3.7,170370,Jose Pablo Feinmann,704
3.91,12534,Larry Niven,393696
4.07,58,Frank Herbert,950425
4.68,421414,John G. Hubbell,28
3.82,177448,Andrew Jones,1333
3.83,1947737,Guy A. Zona,69
3.94,41590,Poe Ballantine,2062
3.99,1305302,R.K. Narayan,57845
3.35,16271,Julia Darling,375
3.89,762807,Michael Blumlein,3507
3.88,73418,James Patrick Kelly,22338
4.09,4220886,Timothy Ferris,7093
3.91,57657,Jesse Cohen,2411
3.96,31624,Edward O. Wilson,54616
3.86,28073,Burkhard Bilger,570
3.79,12052,Gardner Dozois,61869
3.83,110206,Maureen F. McHugh,13691
3.78,20433,Paul McAuley,26705
3.8,331704,Andy Duncan,15968
3.78,73419,Allen Steele,19221
4.19,645128,Brenda W. Clough,6989
3.84,113942,Howard Waldrop,24298
3.96,176807,Leigh Kennedy,800
3.78,541994,Chris Beckett,9944
3.75,207286,Ian R. MacLeod,10338
3.72,108281,Ken MacLeod,26893
3.88,90090,Jim Grimsley,8345
3.69,111819,Michael Cassutt,5919
3.9,142010,William Sanders,4421
3.78,536013,Carolyn Ives Gilman,4808
3.8,21158,Nancy Kress,70447
3.76,162927,Paul Di Filippo,21864
3.6,167202,Simon Ings,2759
4.02,14805,Xenophon,11144
3.79,4717091,Edgar C. Marchant,14
3.74,7445995,G.W. Bowersock,262
4.0,248992,Kenneth Sydney Davis,129
3.85,80974,Marie-Louise Gay,5171
3.7,447286,Elizabeth R. Wollheim,382
3.81,32252,Lynn Abbey,35153
3.83,38605,Christopher Stasheff,34661
3.92,8659,Jennifer Roberson,75785
3.99,8661,Melanie Rawn,80200
3.85,34861,Mickey Zucker Reichert,30306
3.89,48386,Deborah J. Ross,8784
3.91,8690,Larry Dixon,73411
3.86,1967,Tanya Huff,149290
3.73,154081,Irene Radford,5797
3.67,128411,Marjorie B. Kellogg,2756
3.76,283894,Jane S. Fancher,1001
3.99,6256,Michelle Sagara West,41689
3.8,69803,Fiona Patton,18350
4.04,58856,Michael   Shea,14430
3.64,85546,Sheila E. Gilbert,399
3.57,154974,Syed Vickar Ahamed,37
3.57,13081,Hanif Kureishi,25364
4.04,155517,Italo Calvino,202063
4.12,2430,Jennifer Davis,113
4.1,380059,Laura Cornell,12104
4.21,38124,Richard Hugo,3178
4.04,48348,William King,24830
3.98,12793,Charles Darwin,105609
4.27,296781,Janet Podleski,1037
4.27,619867,Greta Podleski,1048
4.2,250085,Tim Martin,318
4.06,50914,Donald Brownlee,904
4.04,50913,William Sarabande,6365
3.92,154280,Marley Brant,122
3.39,29593,Megan Abbott,86537
3.87,249209,Joanne Shattock,15
3.53,1838,Geoffrey Chaucer,190274
3.89,18419,Jill Mann,811
3.85,51490,Harold Schechter,20514
3.83,2546,Chuck Palahniuk,1233893
3.98,4371,Jim Hogshire,325
4.15,3162,Doreen Cronin,160801
4.16,72818,Betsy Lewin,116599
3.81,2791,Peter Kent,449
4.16,99359,Lori Longbotham,426
4.1,3852865,Alison Miksch,703
4.18,10894,Simon Singh,55710
3.51,1852,Monique Truong,5810
4.35,362098,William Flanagan,290533
4.32,237097,Eugene Bradley Coco,50716
4.35,636767,Ron Dias,117219
3.45,26771,John Norman,20981
3.5,294913,bhmn frznh,4111
4.19,7963,P.G. Wodehouse,281968
3.58,334593,Frances Diane Robotti,36
4.35,7751697,James  Vescovi,20
3.79,2878860,J.J. Abrams,24991
3.88,12275,Mel Odom,28616
3.99,8716,Susan Mallery,390044
4.12,312939,Geoffrey Rowell,51
3.89,692509,Kenneth Stevenson,64
4.11,67472,Rowan Williams,3768
4.31,8919,Michael Youssef,652
3.51,17655,Peter Sheridan,854
3.76,61225,Sophy Burnham,1222
3.84,216581,Patricia Raybon,498
3.88,4778,John dos Passos,18485
3.88,7103735,Jose Robles Piquer,16
4.03,41313,Susan Elizabeth Phillips,418747
3.96,52310,Joanna Russ,24158
4.06,9860453,James Tiptree Jr.,14780
3.92,465806,M. Nelson Chunder,26
3.78,2953010,Randall de Seve,1516
3.98,329975,Loren Long,18025
4.0,166264,Richard F. Whalen,33
4.03,2348561,S. Schuster,30
3.68,98267,Paul H. Nitze,71
4.11,78702,Clint Hatchett,72
4.12,160711,Stephen Marchesi,5370
3.57,75512,Cintra Wilson,1761
4.18,58386,Al Burian,1058
3.84,49103,Jeanne Kalogridis,35375
3.13,133319,Hope Donahue,443
3.57,233143,Michael Seth Starr,390
3.95,89815,Gilbert Sorrentino,18303
3.98,8215,Maxine Paetro,521431
4.01,603871,wyd slmyh,4922
4.11,7169526,jy.khy. rwlyng,1469
4.12,156014,Barbara Keating,2800
4.11,324706,Stephanie Keating,2718
4.2,162890,Karen H. Jobes,342
4.11,15203,David Weston Baker,995
3.99,95907,Bill T. Arnold,1487
4.02,8621,Brett Booth,63948
3.97,8622,Katherine Dunn,49435
3.59,885302,Marcus Alexander Hart,487
3.67,22602,Jacqueline Wilson,242911
3.68,169429,Peter G. Tsouras,1307
4.03,108368,Bill Holm,1006
3.97,529502,Brigitte Walitzek,51898
4.16,185962,Robert Goldblatt,45
4.0,412171,Elisabeth Piirainen,1
3.86,54819,April Pulley Sayre,5392
3.94,1713675,Trip Park,3103
4.13,103394,Gilbert Highet,712
3.91,6819578,Augustine of Hippo,49647
3.88,151299,Joseph C. Phillips,51
3.77,464,Tavis Smiley,23866
3.76,947614,Joseph  O'Connor,2344
3.68,628865,Glen Campbell,101
3.71,389498,Kathryn Fox,7548
3.81,55217,Shani Mootoo,2777
4.03,8240,Carl Phillips,1960
3.71,69808,Rachel Hadas,214
3.05,115348,Afi-Odelia Scruggs,41
3.9,53305,Chris Pierson,3203
4.02,1113469,Hermann Hesse,693241
3.61,102160,Will Hutton,493
4.3,33274,Mo Willems,404404
3.57,179372,Kevin Sampson,1502
3.9,35601,Scott Simon,4782
3.89,260248,Deanna Swaney,122
4.04,48197,Todd Lammle,1428
3.81,26019,Todd McFarlane,16534
3.6,166637,Tom Orzechowski,3349
4.49,61964,Steve Oliff,29594
3.61,352642,Ann Heron,94
3.83,3299,Salman Rushdie,272893
4.08,137554,Roland Smith,76832
4.12,25523,Pauline Baynes,994842
3.73,113907,Margaret Fuller,854
3.72,139272,Jeffrey Steele,57
4.04,707250,Kei Miller,1157
3.8,20468,Jim  Murphy,13334
3.95,3055,D. James Kennedy,1228
3.88,3049,John Kennedy Toole,193610
3.66,3851749,Nancy Britt,32
4.03,3052,Jerry Newcombe,1036
3.98,3051,Robert Dallek,11662
3.94,32402,James Welch,9094
4.29,225844,Ripley Hugo,135
4.42,3977400,Lois Welch,62
4.19,1000,William Matthews,959
4.16,18967,Joan Holub,50675
3.83,74600,Norberto Bobbio,993
3.71,24243,Allan Cameron,444
3.88,31349,Marc McCutcheon,856
3.7,63348,John Brockman,15832
3.35,40281,India Knight,3846
3.42,537433,Kees van Kooten,2530
4.05,2893961,Emmuska Orczy,115924
3.86,24481,Harry Hamernik,95
4.02,15438,Chris Hedges,18976
4.4,4634794,Eunice Wong,77
3.78,257861,Sally Arteseros,45
3.9,434547,Jonathan Galassi,1679
3.6,443701,Dylan Baker,2889
3.92,167606,Brian Hodge,19108
3.9,73421,John Kessel,10618
4.18,33958,Eric S. Nylund,47505
4.41,33957,Pat Summitt,3720
3.78,1543,Sally Jenkins,44948
4.11,13623,Michael Ruhlman,34196
4.45,33955,Bonnie Gibson,22
4.43,3874821,Everett Gibson,21
3.89,33952,Rachel Gibson,200915
4.28,6039100,Robert Munsch,248283
4.17,92963,Michael Martchenko,72468
3.85,177010,Fiona Bowie,168
3.66,76329,Selma Eichler,2464
3.8,157619,Mark Tully,2900
4.4,5805341,Kimmo Lemetti,58
3.89,292641,George Theiner,595
3.41,275051,Hava Tirosh-Samuelson,17
4.1,212844,Mary Evelyn Tucker,705
3.81,58748,Lawrence E. Sullivan,77
3.49,209478,Frederic Beigbeder,33621
4.51,125474,Darlene Deibler Rose,3678
4.03,9322,Edward Albee,75498
2.69,466236,m. mwdbpwr,3989
3.79,1197,Harold Pinter,31764
3.0,280196,Claudette Virmonne,3
3.68,50948,Mickey Spillane,16936
4.32,283201,Jonas Clark,271
3.6,177245,Charles A. Miller,5
4.08,10652,Marguerite Henry,120758
4.0,608211,Robin A.H. Waterfield,535469
3.8,554728,Paul Anthony Cartledge,4493
3.97,389991,S.D. Schindler,22115
3.81,262123,Jon Talton,2007
3.8,17421,Abigail Thomas,11536
3.61,147128,Spencer Klaw,101
4.3,112252,Paul Beyerl,340
3.9,19126,Eve Bunting,40846
4.41,3874318,Dick Kelsey,97
4.28,3604,Jane Werner Watson,32158
4.34,2883453,Bill Justice,244
4.14,3105,Rosemary Wells,1125753
4.08,26839,Jim Benton,75753
3.92,6986,Kate McMullan,22780
3.79,3347045,David McPhail,10291
4.14,257578,Joan Palmer,120
3.05,194824,Benjamin Nugent,2669
3.73,61916,Steven Grant,5063
3.65,36113,John Beatty,3166
3.91,61914,Mike Zeck,20971
4.07,5639872,Kenneth Lantz,362
4.26,144000,Lynn Johnston,7713
3.92,309670,Maurice Lever,158
3.89,10521,John Lescroart,81297
3.93,1241,Judy Sierra,10599
3.75,154722,Michael Bryant,455
3.68,5157650,Sean Joseph O'Reilly,536
3.69,61200,Larry Habegger,1275
3.68,255612,James O'Reilly,1432
3.76,5819228,Jacqueline Yau,127
3.29,339528,Kate Heyhoe,94
3.8,288012,Michael T. Ghiselin,182
3.85,42267,Stephen Orgel,22373
3.83,487578,A.R. Braunmuller,14801
3.98,18266,Russ McDonald,2012
4.0,8918,Tessa Bridal,282
4.17,63,Bryce Courtenay,122519
3.96,159563,Anita Lobel,7883
3.9,13229,Julia Cameron,90442
4.24,3465,Julia Child,140249
4.34,74555,Simone Beck,42799
4.33,74554,Louisette Bertholle,36449
3.83,17450,Karen Harper,38619
4.0,24376,Betty Neels,29418
4.15,18821,Bill Peet,19266
3.72,26819,Lois Duncan,66038
3.64,37532,Peter Brimacombe,89
3.29,3989306,Shirley Grimwood,7
3.74,30014,Patricia Windsor,1870
4.14,16950281,Steve                   Johnson,16741
4.13,312388,Lou Fancher,11898
3.8,159585,Gertrude Jekyll,210
3.94,4158687,Charlotte Weiss,33
4.05,103716,Richard Bisgrove,73
4.11,7576,Bebe Moore Campbell,16262
3.83,14053,Simon Winchester,126610
3.98,124569,Richard Kearney,1121
4.08,46668,Randolph M. Nesse,2437
4.1,46667,George C. Williams,3242
4.05,30617,Deborah E. Lipstadt,1966
3.94,56067,Ann Cleeves,77963
3.71,187736,Roger Manvell,1033
3.72,330134,Heinrich Fraenkel,932
3.84,187205,Thomas E. Crow,249
3.68,138742,Sonya Hartnett,12237
4.19,325890,Richard Roud,91
3.76,4353120,Silvia Pareschi,3253
3.72,12492,Barbara Rosenblat,12970
4.04,184351,Evan Imber-Black,55
3.92,306005,Janine Roberts,73
3.81,49377,Julia London,58175
3.92,83837,Catherine Cookson,41142
3.83,3094067,bhrm byDyy,10547
3.95,40572,Jane Kirkpatrick,16826
3.82,530858,Michael Francis,85
3.86,24416,Robert L. Short,706
3.85,3936,Stuart Woods,289899
3.99,13768667,Geshe Kelsang Gyatso,6655
4.26,14525,Ram Dass,26571
4.25,1372787,Richard Alpert,24019
4.16,286021,Sandy Boucher,793
4.0,44477,Sarah Jane Sloane,13
4.18,7285,Ken Kesey,544345
3.94,10039,John Fowles,129036
3.55,8190675,John  Gardner,17204
4.15,42912,Hart Crane,3859
4.05,42907,Jacques Lacan,6416
4.11,42908,Jacques-Alain Miller,1604
3.98,92594,John Forrester,455
4.21,995477,Sylvana Tomaselli,480
4.17,5642562,Jacques Alain-Miller,285
4.01,42914,Paul L. Mariani,472
4.06,51141,Allen Tate,443
4.12,5779446,John  Logan,286
4.12,236,Harold Bloom,105192
4.17,1415243,Waldo Frank,766
4.16,111344,Thomas A. Vogler,714
4.05,232932,Nikolai Gogol,155005
4.11,44876,Mirra Ginsburg,29136
4.28,65528,Robert W. Service,3120
3.84,20613,Scott David Aniolowski,661
3.68,18839,Chaosium Inc.,222
3.98,10088,Richard A. Lupoff,16766
3.92,9493,Robert M. Price,6828
3.71,1735844,Peter Cannon,1826
3.51,3865150,Diane Sammarco,78
3.75,6906422,J. Todd Kingrea,156
3.81,78344,Ruth Ashby,879
3.86,350754,J.H.P. Pafford,107
4.05,14056270,E.A.J. Honigmann,1368
4.09,62288,Arturo Barea,659
4.0,62292,Ilsa Barea,280
4.2,837045,Nigel Townson,126
3.64,12180,Francine Prose,53724
4.14,28188,Peter Pereira,76
4.03,58491,Art Ginsburg,252
4.13,303467,Meomi,1101
4.05,270939,Koge-Donbo*,17789
3.74,1227192,Haruka Aoi,201
3.75,231741,Robert G. Poirier,12
3.73,5724845,B.H. Snow,85
4.2,14919141,John R.W. Stott,22860
4.01,13681,Peter David,226362
3.96,1771,Sun Tzu,218079
4.02,80083,Curzio Malaparte,2675
3.96,218994,David Moore,885
3.69,651160,Thomas Floyd,1123
3.73,3866857,Phillip R. Burger,2669
3.83,2485427,John Bolen,14054
3.89,5680756,Hallie Iglehart Auste,28
3.74,106970,David Beckham,2483
4.14,3521078,Michael R. Phillips,36199
4.06,31464,Judith Pella,24945
4.19,49276,Susan Wise Bauer,20714
4.28,55517,Jessie Wise,6916
4.21,3314070,Sharon Wilson,287
4.28,3889437,Patty Ann Martirosian,158
4.28,3889438,Sheila Graves,158
3.92,178169,Joao Ubaldo Ribeiro,3344
3.98,135107,James Traub,485
3.93,48435,Gordon Thomas,4671
4.03,166494,Max Morgan-Witts,1486
3.87,67385,Junko Morimoto,518
3.97,1385405,Anne Bower Ingram,75
3.92,2843525,Isao Morimoto,109
4.1,67388,Forrest Carter,13713
4.01,54235,Raymond Williams,3346
3.92,1412711,Dai Smith,215
3.48,4013489,Dom Saliani,79
3.37,361736,Tim Scott,638
3.69,437460,Chris Ferguson,461
4.12,387672,Masashi Tanaka,1402
3.79,173246,Ellen Hart,6601
3.66,199207,Karen Scalf Linamen,552
3.85,34729,Sinclair Browning,493
4.05,7109,Douglas Brinkley,14891
4.06,34636,Lisbeth Zwerger,87552
3.95,7039,Robert Whitfield,1590
4.09,42420,Leslie T. Lyall,34
4.04,5442,Theresa Cheung,2142
3.92,85416,Joy Hakim,4561
3.73,649662,Gwen Y. Fortune,15
3.78,491115,Lynn Friedman,23
3.68,13078,Kingsley Amis,36055
3.67,3978495,Judith P. Robertson,3
4.07,5058690,Shi Nai'an,2070
3.83,61907,Marvel Comics,7873
3.72,12459,Stephen W. Frey,14851
3.63,303232,Paul Glen,210
3.7,13286,Brian Freemantle,2244
3.85,217865,John Gielgud,785
3.93,217894,Ralph Richardson,233
4.51,436443,Klaus Fritz,25607
4.13,469737,James W. Rodgers,67
4.16,55524,Frank Capra,442
4.03,34684,Carole Radziwill,13504
3.95,8161,Julius Lester,14286
4.14,3399489,Phyllis Fogelman,93
4.13,70868,Jerry Pinkney,85394
3.5,957466,Tim Penyusun SPMN FSLDK Nasional(UI dan ITB),14
4.12,223869,Elaine Hedges,47071
3.92,2815219,Charles Squire,880
3.84,253322,Jenny Uglow,3267
3.77,8884,Corinne Atlan,2511
4.26,106464,Matsuri Akino,19436
4.05,189947,Jean Liedloff,2015
3.45,451817,David Ely,258
4.19,208933,Sidney H. Avner,110
3.78,140778,R. Chetwynd-Hayes,3423
3.91,941329,A.M. Burrage,6268
3.57,99961,rD myrkhny,10579
3.52,6447881,Patricia  Hall,93
4.33,460508,Kim Gruelle,3
4.33,3921107,Joni Keating Gruelle,3
4.4,282684,Suhaib Hasan,15
3.93,55213,Boris Starling,2943
3.99,88167,Deborah Chandra,517
3.9,105442,Ralph Cosham,7014
3.75,5063,Michael Dahl,7645
4.11,146,Quentin Blake,2284220
3.65,167052,Marie Carducci Bolchazy,23
3.75,4003898,Andrew J. Adams,4
3.82,7927,Norman Mailer,63155
3.81,163203,Tiina Nunnally,74000
3.49,6456980,Keith P. Phillips,41
3.44,6456981,Pete Knifton,107
4.07,11210,Les Edwards,18250
4.06,168813,Percy FitzPatrick,832
3.85,13806,Mark LeVine,2019
4.1,2121,Michael Pollan,345687
3.52,13807,Stephen M. Pollan,805
3.95,10087,Bruce Coville,101085
4.17,213284,Hugh Wheeler,13162
4.07,37269,Roberto Benigni,661
3.64,37271,Vincenzo Cerami,850
4.26,46810,Murray N. Rothbard,11604
3.77,4762904,John     Leland,13
3.33,663155,Duncan J. Burden,9
4.26,5951,Jeff Smith,206926
3.74,2169376,Lakambini A. Sitoy,136
3.09,4843288,Mary E. Bradley Lane,54
3.47,5789119,Joan Saberhagen,81
4.08,16070,Alexander Pushkin,103491
3.95,272922,Joyce Lavene,11932
3.95,3525857,Jim Lavene,11005
4.08,70978,Jim Kjelgaard,25326
3.94,43774,Joan Dye Gussow,1280
3.6,98411,Rebecca Moesta,36213
4.17,246772,John Horn,63
3.67,178999,Vance H. Trimble,81
4.29,304737,Philip Schaff,1441
3.94,84922,Helen Bannerman,4713
4.17,951363,Raymond M. Smullyan,3270
3.78,163926,Wendy  Wax,26893
4.08,19739,Lester del Rey,23303
3.53,434873,Hal Frenck,256
4.05,143810,Ronald E. Walpole,1032
3.95,143807,Raymond H. Myers,296
3.95,143808,Sharon L. Myers,296
3.96,143809,Keying Ye,233
4.06,149151,Francis of Assisi,1628
3.67,2981647,St. Clare of Assisi,3
4.21,209164,Regis J. Armstrong,209
4.07,209163,Ignatius C. Brady,119
3.75,505540,Mecca Reitman Carpenter,8
3.77,3489,Rebecca Wells,523787
3.69,4486,Robert A. Dahl,1636
3.92,18810,John Ostrander,33455
3.66,100105,Jonathan Gregson,227
3.26,160776,Ty Wenzel,96
3.83,127170,Margaret Buffie,1895
4.18,16522,John Burgoyne,27295
3.71,106465,Ken Englade,2084
3.55,1340291,brhym `ys~,10603
3.97,13597,Marissa Moss,19431
3.59,200588,Stephen Gullo,96
4.07,4138214,Ely Liebow,14
3.9,17275,Svend Otto S.,311
3.45,187414,Edith Templeton,450
3.91,3019,Suketu Mehta,8597
4.27,3015,Anthony Loyd,1525
3.72,3017,Anthony Shadid,2650
3.65,2763,Erik J. Wielenberg,78
4.27,3493408,Leah Bendavid-Val,3682
4.19,698,National Geographic Society,14408
4.03,2764,Richard Holloway,1178
3.9,166694,Gregory Curtis,394
3.88,431771,Fisher Stevens,842
3.94,35022,Marjorie M. Liu,123041
3.93,175197,Rett MacPherson,3818
3.66,518752,Eric B. Schultz,179
4.03,518751,Michael J. Tougias,2234
0.0,518754,Carol Treadwell,0
3.81,200478,David Foster,360
4.11,2877684,Gerda Foster,18
4.21,181832,Kurt Muse,190
4.02,181831,John Gilstrap,22429
4.46,5688112,Daniel Schwabauer,280
3.44,298097,Gary W. Barfknecht,27
4.11,166943,Wayne Barlowe,2720
4.18,970345,Mark McGrain,33
3.81,978,Wole Soyinka,7423
4.16,123594,Gwendolyn D. Pough,86
4.39,2593973,Elaine Richardson,97
4.3,3933026,Aisha Durham,43
4.3,15250833,Darlene Anita Scott,43
4.3,15250834,Beatrice Koehler-Derrick,43
4.3,15250835,Darrell Gane-McCalla,43
4.13,4329070,Aya de Leon,400
4.3,15250836,Alesha Dominek Washington,43
4.3,15250837,Maya Freelon,43
4.28,7785928,Heather Duerre Humann,64
4.3,15250838,Veronica Bohanan,43
4.3,15250839,Rachel Raimist,43
4.3,15250840,Fatimah N. Muhammad,43
3.75,539252,Eisa Nefertari Ulen,63
4.24,5862894,Andreana Clay,59
4.3,15250841,Ayanah Moor,43
4.3,15250842,Chyann L. Oliver,43
4.3,15250843,Joycelyn A. Wilson,43
4.3,15250844,Elan Ferguson,43
4.33,2138828,Michael Jeffries,67
4.28,14138817,Tracey Rose,47
4.24,13436234,Kaila Adia Story,45
4.16,3225632,Shawan M. Worsley,45
4.1,20063,Mark Anthony Neal,506
4.33,2918994,Queen Sheba,45
4.24,13436913,Brittney Cooper,62
4.3,15250845,Tia Smith Cooper,43
4.3,15250846,Tina Fakrid-Deen,43
3.99,2772732,Tara Betts,1263
4.3,15250847,Levita D. Mondie-Sapp,43
4.3,15250848,Kimala Price,43
4.3,15250849,Jasmine Hillyer,43
4.31,1029713,Favianna Rodriguez,48
3.99,2850062,Joan Morgan,1379
4.3,13128554,elan,44
4.3,15250850,Stephanie L. Batiste,43
4.35,7914515,Jocelyn James,48
4.3,15250851,Legacy Eyes-of-the-Moon Russell,43
4.3,15250852,Makiba J. Foster,43
4.3,15250853,Askhari,43
4.18,8137432,Jade Foster,49
3.76,194618,Sujatha Fernandes,110
4.29,4583371,Eric Darnell Pritchard,45
4.3,15250854,Maria L. Bibbs,43
3.71,5693875,John Rodriguez,94
4.3,15250855,Shaden Tavakoli,43
3.84,21333,Brian D. McLaren,25610
4.0,82932,Paul Negri,2445
4.07,24953,Leonid Andreyev,6306
4.07,6890538,Nicholay Leskov,137
3.98,4175285,Vsevolod Garshin,861
4.07,6890537,Theodor Sologub,137
3.45,435975,Paul Hyland,84
3.94,65471,Robert Lynn Asprin,162112
3.92,397,Robert B. Parker,314998
4.07,81658,Alessandro Scafi,15
4.37,345045,Chris Marker,457
3.52,6453534,Adriana  Hunter,13916
3.77,319857,Shaun Whiteside,53769
3.96,72499,Joseph Mileck,588
4.01,9947,Anthony Powell,16369
3.9,121585,Katherine Hannigan,25996
3.25,288297,Mel Cebulash,114
4.03,9678,Ann Rule,169365
3.65,443779,Violet H. Harada,84
3.9,83987,mHmdj`fr mSf,509
4.18,19990,Ron Padgett,2456
4.23,80970,Clark Coolidge,1038
3.52,62572,Pascal Covici,735
4.33,3582,Carl Barks,7334
4.04,6810,Wilson Rawls,294622
4.0,953633,Gordon Warme,7
2.5,328482,Kimberley Converse,2
4.34,127503,ReShonda Tate Billingsley,14539
3.59,182340,Frank Ackerman,112
3.43,182339,Lisa Heinzerling,74
4.02,18223,Kathleen Kennedy,255
3.79,1858,Kim Stanley Robinson,168711
3.98,298319,Pat Parelli,304
4.51,146727,John Baillie,353
4.13,42016,Lauren Child,45190
4.06,343447,Patrick J. White,34
4.22,82526,Paul Starr,15718
3.5,1809815,Paul  Starr,10
4.17,277667,Beverly Swerdlow Brown,6
3.84,953407,Enrique Lopez Castellon,308
3.9,60047,Neil Simon,32107
3.85,17063,Susan Krinard,43880
3.5,984,Sophie Mills,18
3.84,986,William Allan,124
3.91,973,Euripides,110684
3.79,259975,Robert Bagg,305
3.9,153646,David Chidester,374
3.81,12677,Minfong Ho,4192
3.87,340491,Holly Meade,3385
3.9,12676,Heather O'Neill,22765
3.7,424652,Betty White,27816
3.88,57827,Charles W. Chesnutt,6271
3.9,2387,Jayne Ann Krentz,440327
3.59,108815,Ivor G. Chestnutt,27
3.78,14815,John Gibson,109
3.54,51027,Whitney Otto,6506
4.07,224553,Hajime Kanzaka,2535
4.19,423611,Rui Araizumi,1736
3.71,1052793,G.J. Ashworth,7
2.75,902998,J.E. Tunbridge,4
4.5,20132,Mark Lewisohn,5105
4.24,39867,Alastair Smith,3751
4.07,6056,Judy Tatchell,335
3.86,235016,Harriet Rohmer,433
4.27,93710,Galen A. Rowell,1555
3.88,251454,Jennifer Barry,34
4.1,107532,Thomas Hager,5745
3.95,765,Wallace Edwards,835
4.12,80115,Duncan Williamson,214
3.83,603378,bbkh Hmdy,1979
4.11,387560,Matthew Minter,9
3.66,256392,Katharina M. Wilson,163
3.51,66222,Christopher C. Wilson,89
3.76,26495,Ari Goldman,476
4.24,160195,Brittney Ryan,1885
3.9,169131,Robyn Bryant,184
3.99,98618,Karen M. Burke,135
3.94,98619,Priscilla LeMone,317
4.02,15925,Ian Monk,6664
4.64,4528893,H.-A.. Zo,42
3.91,52676,Harry Mathews,4537
3.85,56607,Dayton Ward,10541
3.86,56606,Kevin Dilmore,6005
4.5,426977,Sigrid Hauser,60
4.3,130983,Peter Zumthor,2552
4.43,386913,Helene Binet,134
3.71,79914,Jay Ingram,1153
3.71,6105,Joan Mellen,400
4.05,41732,Linda Schele,663
4.01,44972,Mary Ellen Miller,528
3.83,16442,John Michael Curlovich,114
3.71,683015,Barbara Cardy,293
4.08,286245,William F. Powell,663
3.66,8203,James Redfield,104066
3.82,8204,Carol Adrienne,1728
3.68,34196,Josh Greenfeld,153
3.63,38423,Eileen Goudge,19781
3.91,28911,David Bornstein,2169
3.7,4659176,John Brown,460
3.93,58984,Timothy Truman,11216
4.17,72596,Jaime Gil de Biedma,494
4.1,139585,Michael Guillen,1415
3.93,72464,Richard A. Lanham,618
4.0,131683,Edward Eager,51390
3.99,385574,N.M. Bodecker,47396
3.81,410426,Claude Clement,241
3.8,182735,Deborah Kovacs,240
3.74,346151,Marcelle Geneste,118
5.0,106867,Herbert G. Klein,1
4.04,107737,Hugh Sidey,195
4.08,3783,David Fromkin,6457
4.0,13084,Roland Barthes,64524
4.24,27112,Richard Howard,886486
4.08,341257,Annette Lavers,11773
